result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,created_at
48,48,0.23871493339538574,0.1247023344039917,0.13373100757598877,0.16571609179178873,0.4705357551574707,0.5497097074985504,0.5425680875778198,0.520937850077947,0.3922218084335327,False,0.1287160416444143,0.0012786860420350462,0.45350486040115356,0.3656496918974331,0.30431049974587215,0.3300398083566948,1,0.03231635856409981,2026-03-13 02:21:31.792996
49,49,0.18823230266571045,0.15781241655349731,0.1524830460548401,0.16617592175801596,0.37353670597076416,0.3867255449295044,0.5334064662456512,0.4312229057153066,0.271409273147583,False,0.15981363256772357,0.005249730933509235,0.3002860943476359,0.354765214513659,0.3479966786400571,0.2972381068462838,1,0.021431881180325685,2026-03-13 02:21:31.909462
50,50,0.1297835111618042,0.10299599170684814,0.26780879497528076,0.1668627659479777,0.46070629358291626,0.34093141555786133,0.45983588695526123,0.4204911986986796,0.3442346453666687,False,0.07625655333201092,0.0031650058146565937,0.3656870722770691,0.36420403146770153,0.33852241363054936,0.2972735549017491,1,0.030870698134368213,2026-03-13 02:21:32.022030
51,51,0.15072250366210938,0.1857283115386963,0.16672658920288086,0.1677258014678955,0.39792728424072266,0.3809604048728943,0.5153511166572571,0.431412935256958,0.3180121183395386,False,0.11340081691741943,0.0035707883143084964,0.38514846563339233,0.34623176703758485,0.31247466067809276,0.34129357228432244,1,0.012898433704251533,2026-03-13 02:21:32.205068
52,52,0.19224238395690918,0.1883830428123474,0.12496215105056763,0.16852919260660806,0.5778281688690186,0.5758460760116577,0.4257652759552002,0.5264798402786255,0.5106199979782104,False,0.01585984230041504,0.0050723665154445525,0.48367705941200256,0.31236528647908535,0.330695538727993,0.35693917479292153,3,0.023605841459588217,2026-03-13 02:21:32.316850
53,53,0.17739641666412354,0.18987369537353516,0.1405264139175415,0.1692655086517334,0.5364224314689636,0.38625508546829224,0.32529115676879883,0.41598955790201825,0.32369422912597656,False,0.09229532877604169,0.00787147195154208,0.5196497639020284,0.2942624887352774,0.3491973714263699,0.3565401398383526,3,0.023206806505019273,2026-03-13 02:21:32.479401
54,54,0.12177795171737671,0.20214372873306274,0.18571406602859497,0.16987858215967813,0.4038448929786682,0.5640207827091217,0.4108031392097473,0.4595562716325124,0.3477848768234253,False,0.1117713948090871,0.005464486569006235,0.2810259362061818,0.3475329682718589,0.3246346802857745,0.32783235144236655,1,0.014199634938525607,2026-03-13 02:21:32.592703
55,55,0.1866222620010376,0.13965719938278198,0.18470561504364014,0.17032835880915323,0.5486845374107361,0.5246281921863556,0.5513401627540588,0.5415509641170502,0.36266207695007324,False,0.17888888716697693,0.00014436549590316852,0.3743014335632324,0.37300946170950183,0.28069645799831194,0.34629408029218617,1,0.03967612837616852,2026-03-13 02:21:32.707944
56,56,0.13826483488082886,0.19254463911056519,0.18247252702713013,0.17109400033950806,0.4177914261817932,0.5387637615203857,0.45645421743392944,0.47100313504536945,0.4019792675971985,False,0.06902386744817096,0.002544886488044382,0.4526179830233256,0.3540962331737164,0.33073157606338666,0.31517219076289693,1,0.020762899840383098,2026-03-13 02:21:32.913209
57,57,0.15036725997924805,0.16266119480133057,0.2023930549621582,0.1718071699142456,0.4236595630645752,0.40904951095581055,0.4848148226737976,0.43917463223139447,0.34978610277175903,False,0.08938852945963544,0.0010770890955795508,0.42700450619061786,0.35109969002408487,0.30638784652504397,0.34251246345087116,1,0.01776635669075155,2026-03-13 02:21:33.061274
